,segment_id,start,end,positive,negative
0,2,113,139,1,0
1,3,658,718,1,0
2,6,805,825,1,0
3,7,949,1029,0,1
4,10,1351,1425,0,1
5,13,1450,1469,1,0
6,14,1509,1553,0,1
7,16,1804,1871,1,0
8,18,1907,1931,0,1
9,20,1956,1993,0,1
10,23,2187,2198,0,1
11,24,2634,2679,1,0
12,26,2707,2740,1,0
13,28,2952,2963,1,0
14,29,3462,3551,0,1
15,32,3580,3629,0,1
16,34,4362,4402,1,0
17,37,4582,4598,1,0
18,39,5133,5148,1,0
19,41,5285,5314,0,1
20,43,5384,5396,0,1
21,45,5501,5518,1,0
22,48,5621,5650,1,0
23,55,5971,6091,1,0
24,59,6181,6193,0,1
25,60,6775,6789,1,0
26,61,6810,6822,1,0
27,62,7162,7172,0,1
28,63,7268,7280,1,0
29,65,7384,7420,0,1
30,67,7464,7487,0,1
31,68,7774,7795,0,1
32,69,7845,7871,1,0
33,71,8099,8114,1,0
