,segment_id,start,end,positive,negative
0,0,323,382,1,0
1,3,420,598,0,1
2,7,662,787,0,1
3,11,814,881,0,1
4,15,911,961,0,1
5,17,1333,1352,0,1
6,18,1509,1535,0,1
7,19,1631,1693,1,0
8,21,1815,1827,0,1
9,22,1876,1912,0,1
10,24,1952,2007,0,1
11,27,2056,2124,1,0
12,30,2172,2185,0,1
13,31,2436,2462,0,1
14,33,2538,2557,1,0
15,34,2608,2633,1,0
16,35,2677,2709,1,0
17,36,2978,3029,0,1
18,37,3077,3118,0,1
19,38,3297,3335,0,1
20,39,3396,3418,0,1
21,40,3807,3961,0,1
22,46,4259,4299,1,0
23,48,4330,4383,0,1
24,50,4422,4509,0,1
25,53,4928,4939,1,0
26,54,5213,5313,1,0
27,56,5349,5421,1,0
28,58,5441,5454,0,1
29,59,5518,5539,1,0
30,60,5577,5710,1,0
31,67,6110,6251,1,0
32,70,6342,6504,0,1
33,76,6537,6554,0,1
34,77,6579,6613,0,1
35,79,7367,7552,0,1
36,82,7621,7634,0,1
37,83,7694,7726,0,1
38,85,7760,7868,0,1
39,89,8344,8356,1,0
40,90,8703,8729,0,1
