,segment_id,start,end,positive,negative
0,0,806,823,0,1
1,2,1179,1244,1,0
2,5,1500,1604,1,0
3,10,1629,1644,1,0
4,11,1755,1797,1,0
5,13,2070,2090,1,0
6,14,2271,2282,1,0
7,15,2302,2316,0,1
8,16,2552,2566,0,1
9,17,2593,2626,0,1
10,19,2669,2738,0,1
11,21,3139,3160,0,1
12,22,4085,4097,0,1
13,24,4135,4147,0,1
14,25,4218,4236,0,1
15,26,4278,4296,0,1
16,27,4701,4711,1,0
17,28,5312,5324,0,1
18,29,5583,5600,1,0
19,30,5728,5740,1,0
20,31,6206,6217,1,0
21,32,6463,6474,1,0
22,34,6956,6972,1,0
23,36,7230,7310,0,1
24,40,7493,7558,1,0
25,43,7597,7609,1,0
26,44,7715,7727,1,0
27,45,7914,7933,1,0
28,46,8092,8102,1,0
