,segment_id,start,end,positive,negative
0,0,9,19,1,0
1,1,20,32,1,0
2,2,38,49,1,0
3,3,102,135,1,0
4,5,162,180,0,1
5,6,181,228,0,1
6,11,1091,1102,0,1
7,12,1112,1123,1,0
8,16,1505,1517,0,1
9,22,1913,1924,1,0
10,24,2243,2259,1,0
11,30,2551,2564,1,0
12,36,2838,2851,0,1
13,39,2885,2898,1,0
14,40,2931,2946,0,1
15,43,3055,3067,0,1
16,46,3231,3250,1,0
17,48,3274,3285,1,0
18,49,3386,3397,1,0
19,50,3432,3443,1,0
20,51,3445,3459,1,0
21,52,3508,3523,1,0
22,53,3532,3545,0,1
23,54,3548,3560,0,1
24,55,3570,3586,1,0
25,57,3668,3683,0,1
26,58,3697,3707,0,1
27,59,3731,3741,1,0
28,60,3749,3761,0,1
29,61,3769,3788,0,1
30,62,3792,3812,0,1
31,63,3820,3835,1,0
32,64,3867,3889,1,0
33,66,3995,4009,1,0
34,72,4259,4272,1,0
35,82,4988,5005,0,1
36,83,5097,5115,1,0
37,85,5287,5303,0,1
38,86,5306,5338,1,0
39,87,5365,5381,0,1
40,91,5661,5672,0,1
41,94,6574,6600,1,0
42,95,6601,6626,1,0
43,96,6637,6648,0,1
44,97,6685,6721,0,1
45,98,6741,6752,1,0
46,99,6755,6774,1,0
47,101,6875,6887,0,1
48,105,7572,7593,0,1
49,106,7599,7633,1,0
50,108,7845,7856,0,1
51,111,8104,8118,1,0
52,112,8128,8139,0,1
53,116,8428,8441,0,1
54,121,8759,8778,0,1
55,125,9242,9278,0,1
56,127,9308,9323,0,1
57,128,9339,9357,1,0
58,129,9401,9414,1,0
59,130,9623,9639,1,0
